Code,Meaning,Description
11XX,Generic Problem,
11XX,Generic Solution,
11XX,Generic Event,
12XX,Boru Patlağı,
13XX,Metro Grevi,
13XX,Vapur Grevi,
13XX,Metro Hattı Devre Dışı,
13XX,İskele Devre Dışı,
13XX,İstasyon Devre Dışı,
13XX,Gecikecek,
13XX,Hatalı Park Şikayeti,
13XX,Kargo Dağıtımı Sıkıntıları,
14XX,Kar,
14XX,Kasırga,
14XX,Dolu,
14XX,METEOROLOJİ UYARI?,
14XX,Çığ,
14XX,Hortum,
15XX,Taşkınlık,
15XX,Hayvan,
15XX,Şiddet,
16XX,Deniz Kirliliği,
16XX,Çöplerin Toplanmaması,
16XX,Moloz Atıkları,
16XX,Ağaç Kesme,
16XX,Orman Yangını,
16XX,Sivrisinek İstilası,
16XX,Yasadışı Çöp Birikintisi,
17XX,Sağlık Personelinden Uygunsuzluk,
17XX,Doktor Şiddeti,
24XX,Yardım malzemesi tedarik noktası,
27XX,Tıbbi malzeme tedarik noktası,
31XX,Hayır Lokması vb. Yemek Dağıtımı,
32XX,Panayır,
32XX,Kermes,
32XX,Düğün,
32XX,Stand-up,
32XX,Söyleşi,
32XX,Eğlence,
33XX,Sirk,
